,city_name,cloudiness,country,data,humidity,lat,lon,max_temp,wind_speed
447,Sangar,75,RU,1598663056,47,63.92,127.47,58.51,6.22
448,São Félix do Xingu,1,BR,1598663128,55,-6.64,-51.99,78.42,0.98
449,Clarence Town,0,AU,1598663046,51,-32.58,151.78,66.0,8.05
450,Wawa,99,NG,1598663128,91,9.9,4.42,72.59,6.11
451,Hammerfest,64,NO,1598663129,75,70.66,23.68,43.14,9.01
452,Mezen',100,RU,1598663129,88,65.85,44.24,41.09,5.17
453,Honiara,75,SB,1598663015,70,-9.43,159.95,86.0,5.82
454,Gubkinskiy,99,RU,1598663130,86,64.43,76.5,57.67,4.12
455,San Jose,90,US,1598662910,53,37.34,-121.89,80.01,12.75
456,Antalaha,91,MG,1598663130,81,-14.9,50.28,68.65,6.58
457,Tura,14,IN,1598663131,94,25.52,90.22,75.52,5.48
458,Kouango,100,CF,1598663131,96,4.99,19.96,71.06,3.02
459,Chittarkonda,100,IN,1598663131,86,18.12,82.08,72.79,2.26
460,Ingham,1,US,1598663131,94,42.6,-84.38,75.99,10.65
461,Poum,74,NC,1598663132,82,-20.23,164.02,72.55,22.41
462,Sørland,78,NO,1598663079,63,67.67,12.69,48.25,6.98
463,Kosh-Agach,96,RU,1598663132,80,50.0,88.67,42.84,2.91
464,Kizema,100,RU,1598663132,97,61.11,44.83,55.18,6.13
465,Mindelo,40,CV,1598663133,78,16.89,-24.98,82.4,5.82
466,Torrevieja,0,ES,1598663035,78,37.98,-0.68,79.0,4.85
467,Sitka,75,US,1598663047,71,57.05,-135.33,57.2,10.29
468,Toledo,100,ES,1598663134,31,39.83,-4.0,73.99,24.27
469,Atar,51,MR,1598663134,43,20.52,-13.05,89.28,17.72
470,Havelock,40,US,1598663134,78,34.88,-76.9,82.99,6.93
471,Tigil',0,RU,1598663134,50,57.8,158.67,58.33,7.29
472,Ambovombe,7,MG,1598663135,66,-25.17,46.08,71.1,6.8
473,Khudumelapye,46,BW,1598663135,28,-23.88,24.75,62.31,7.02
474,Okhotsk,67,RU,1598663021,56,59.38,143.3,56.62,4.25
475,Wembley,20,AU,1598663136,62,-31.93,115.8,60.01,8.05
476,Hanyang,99,CN,1598663136,75,32.14,105.51,73.99,3.0
477,Piaçabuçu,99,BR,1598663136,84,-10.41,-36.43,74.12,7.58
478,Alyangula,40,AU,1598663136,61,-13.85,136.42,80.6,14.99
479,Kasimov,0,RU,1598663137,93,54.94,41.4,55.24,4.81
480,Hay River,75,CA,1598663054,93,60.82,-115.8,55.4,10.29
481,Los Llanos de Aridane,16,ES,1598663038,83,28.66,-17.92,73.99,18.34
482,Barra do Garças,0,BR,1598663137,20,-15.89,-52.26,74.03,1.88
483,Jiangyou,99,CN,1598663138,79,31.77,104.72,78.78,1.72
484,Eminabad,40,PK,1598663138,88,32.04,74.26,80.6,2.89
485,Kano,99,NG,1598663138,100,12.0,8.52,69.8,9.17
486,Tankhoy,100,RU,1598663139,83,51.55,105.13,57.74,2.48
487,Sayyan,79,YE,1598663139,62,15.17,44.32,61.86,1.43
488,Hualmay,42,PE,1598663068,84,-11.1,-77.61,60.87,10.02
489,Thabazimbi,93,ZA,1598663139,37,-24.59,27.41,65.37,6.26
490,Pierre,1,US,1598662853,31,44.37,-100.35,75.2,16.11
491,Srednekolymsk,97,RU,1598663021,74,67.45,153.68,46.47,2.46
492,Katsuura,20,JP,1598663024,70,35.13,140.3,91.4,13.87
493,Okha,2,RU,1598663140,72,53.57,142.95,58.95,15.86
494,Sur,100,OM,1598663033,65,22.57,59.53,83.95,5.23
495,Wanxian,0,CN,1598663072,63,30.8,108.39,83.88,4.52
496,Bonavista,94,CA,1598663141,80,48.65,-53.11,55.99,10.0
497,Kavieng,0,PG,1598663025,74,-2.57,150.8,83.8,11.61
498,Krasnyy Chikoy,100,RU,1598663141,86,50.36,108.75,57.58,0.89
499,Aasiaat,100,GL,1598663142,72,68.71,-52.87,39.94,6.02
500,Sokoni,20,TZ,1598663142,88,-6.43,39.55,71.6,12.73
501,Vallenar,75,CL,1598663142,45,-28.57,-70.76,55.56,0.94
502,Pennāgaram,100,IN,1598663143,85,12.13,77.9,72.09,2.68
503,Tías,75,ES,1598663143,69,28.96,-13.64,75.2,16.11
504,Anadyr,75,RU,1598663081,76,64.75,177.48,51.8,6.71
505,Fairbanks,75,US,1598663025,72,64.84,-147.72,61.0,1.57
506,Kysyl-Syr,100,RU,1598663060,43,63.9,122.76,61.18,6.53
507,Baijiantan,9,CN,1598663144,43,45.63,85.18,68.58,7.11
508,Flin Flon,91,CA,1598663144,78,54.77,-101.86,59.63,5.26
509,Ryōtsu-minato,8,JP,1598662935,84,38.08,138.43,86.0,2.24
510,Marchena,0,ES,1598663145,40,37.33,-5.42,71.01,6.93
511,Borgarnes,75,IS,1598663145,87,64.54,-21.92,50.0,12.75
512,Ayan,0,RU,1598663145,53,56.45,138.17,60.42,7.23
513,La Providencia,0,MX,1598663146,68,28.72,-111.58,91.99,18.01
514,Kenai,1,US,1598663070,51,60.55,-151.26,64.4,8.05
515,Tiarei,20,PF,1598663146,62,-17.53,-149.33,84.2,12.75
516,Nouadhibou,75,MR,1598663070,88,20.93,-17.03,77.0,6.93
517,Husavik,90,IS,1598663147,87,66.04,-17.34,48.2,2.24
518,Campbell River,75,CA,1598662809,56,50.02,-125.24,69.8,10.29
519,Itacoatiara,100,BR,1598663147,90,-3.14,-58.44,75.54,1.97
520,Behshahr,0,IR,1598663148,72,36.69,53.55,70.38,3.04
521,Kurchum,0,KZ,1598663148,71,48.57,83.65,58.12,7.52
522,Begunitsy,40,RU,1598663148,87,59.59,29.32,55.4,1.86
523,Walvis Bay,0,NA,1598663148,70,-22.96,14.51,48.2,2.24
524,Pochutla,100,MX,1598663096,93,15.74,-96.47,78.01,2.26
525,Oranjemund,24,NA,1598663053,83,-28.55,16.43,54.14,7.61
526,Ketchikan,90,US,1598663149,93,55.34,-131.65,55.4,8.05
527,Nadym,100,RU,1598663150,80,65.53,72.52,58.33,2.06
528,Philadelphia,75,US,1598663042,88,39.95,-75.16,73.4,8.05
529,Balikpapan,20,ID,1598663150,100,-1.27,116.83,78.8,12.75
530,Boyolangu,38,ID,1598663150,76,-8.12,111.89,79.03,9.37
531,Zakupne,14,UA,1598663151,63,49.12,26.34,60.01,1.99
532,Nikki,35,BJ,1598663151,93,9.94,3.21,69.91,6.53
533,Tongliao,53,CN,1598663151,72,43.61,122.27,65.41,7.43
534,Omboué,100,GA,1598663151,85,-1.57,9.26,74.16,7.54
535,North Bend,1,US,1598663106,72,43.41,-124.22,80.01,25.28
536,Soyo,100,AO,1598663092,89,-6.13,12.37,72.21,9.57
537,Port Hardy,90,CA,1598663040,77,50.7,-127.42,59.0,9.17
538,Setermoen,89,NO,1598663152,93,68.86,18.35,44.6,11.41
539,Marsá Maţrūḩ,0,EG,1598663152,73,31.35,27.25,77.0,5.82
540,Cehegín,0,ES,1598663153,56,38.09,-1.8,79.0,7.0
541,Ust'-Ishim,0,RU,1598663154,96,57.69,71.17,56.44,4.54
542,Hokitika,72,NZ,1598663154,82,-42.72,170.97,54.46,3.76
543,San Lorenzo,0,PY,1598663154,47,-25.33,-57.53,78.8,5.82
544,Yarmouth,20,US,1598662999,78,41.71,-70.23,75.0,8.05
545,Umm Kaddadah,45,SD,1598663155,60,13.6,26.69,81.66,4.47
546,Sisophon,94,KH,1598663155,82,13.59,102.97,80.24,3.4
547,Dillon,1,US,1598663155,83,34.42,-79.37,81.0,4.7
548,Changping,0,CN,1598663156,83,40.22,116.22,77.0,2.24
549,Balkhash,0,KZ,1598663156,61,46.84,74.98,62.33,16.02
550,Mikuni,75,JP,1598663156,62,36.22,136.15,89.6,1.12
551,Lodja,10,CD,1598663156,92,-3.48,23.43,69.39,2.08
552,Kristiansund,61,NO,1598663081,76,63.11,7.73,53.6,8.05
553,Jiayuguan City,100,CN,1598663157,70,39.82,98.3,54.73,7.02
554,The Valley,20,AI,1598663070,79,18.22,-63.06,84.2,10.29
555,Rasht,0,IR,1598663158,100,37.28,49.58,66.2,1.39
556,Bera,3,BD,1598663158,86,24.08,89.62,81.21,9.22
557,Lima,90,PE,1598662971,82,-12.04,-77.03,60.8,13.87
558,Yārāda,40,IN,1598663158,94,17.65,83.27,80.6,2.24
559,Lokosovo,18,RU,1598663159,95,61.13,74.82,53.65,6.6
560,Fernley,31,US,1598663159,11,39.61,-119.25,93.0,3.0
561,Luanda,40,AO,1598663087,88,-8.84,13.23,69.8,10.29
562,Brae,40,GB,1598662985,87,60.4,-1.35,48.2,10.29
